rate,delay_ms,index,ideal_notch_hz,spacing_hz,ideal_magnitude
96000,5.0,29,5900.0,200.0,1.0778129793769884e-14
96000,5.0,30,6100.0,200.0,3.917631795998353e-15
96000,5.0,31,6300.0,200.0,2.942866201773178e-15
96000,5.0,32,6500.0,200.0,9.803364199544709e-15
96000,5.0,33,6700.0,200.0,1.666386219731624e-14
96000,5.0,34,6900.0,200.0,4.897349235316236e-15
96000,5.0,35,7100.0,200.0,1.963148762455295e-15
96000,5.0,36,7300.0,200.0,8.823646760226826e-15
96000,5.0,37,7500.0,200.0,1.273756467240565e-14
96000,5.0,38,7700.0,200.0,5.877066674634119e-15
96000,5.0,39,7900.0,200.0,9.834313231374127e-16
96000,5.0,40,8100.0,200.0,2.0577780109495062e-14
96000,5.0,41,8300.0,200.0,1.4704427318680477e-14
96000,5.0,42,8500.0,200.0,6.856784113952001e-15
96000,5.0,43,8700.0,200.0,2.842542331422354e-14
96000,5.0,44,8900.0,200.0,6.8642118815910615e-15
96000,5.0,45,9100.0,200.0,1.4696999551041415e-14
96000,5.0,46,9300.0,200.0,3.625821098367389e-14
96000,5.0,47,9500.0,200.0,9.760035554983525e-16
96000,5.0,48,9700.0,200.0,2.2537214988130828e-14
96000,5.0,49,9900.0,200.0,1.274499244004471e-14
96000,5.0,50,10100.0,200.0,8.816218992587766e-15
96000,5.0,51,10300.0,200.0,2.646598843558777e-14
96000,5.0,52,10500.0,200.0,4.904777002955296e-15
96000,5.0,53,10700.0,200.0,1.665643442967718e-14
96000,5.0,54,10900.0,200.0,1.8625772998498358e-14
96000,5.0,55,11100.0,200.0,2.9354384341341176e-15
96000,5.0,56,11300.0,200.0,2.4496649866766593e-14
96000,5.0,57,11500.0,200.0,1.0785557561408946e-14
96000,5.0,58,11700.0,200.0,1.0775653871223532e-14
96000,5.0,59,11900.0,200.0,2.450655355695201e-14
96000,5.0,60,12100.0,200.0,2.9453421243195312e-15
96000,5.0,61,12300.0,200.0,1.8615869308312946e-14
96000,5.0,62,12500.0,200.0,4.017708074094542e-14
96000,5.0,63,12700.0,200.0,4.894873312769882e-15
96000,5.0,64,12900.0,200.0,2.645608474540236e-14
96000,5.0,65,13100.0,200.0,8.82612268277318e-15
96000,5.0,66,13300.0,200.0,1.2735088749859296e-14
96000,5.0,67,13500.0,200.0,2.2547118678316243e-14
96000,5.0,68,13700.0,200.0,9.85907245683766e-16
96000,5.0,69,13900.0,200.0,2.057530418694871e-14
96000,5.0,70,14100.0,200.0,1.4706903241226827e-14
96000,5.0,71,14300.0,200.0,6.854308191405648e-15
96000,5.0,72,14500.0,200.0,2.842789923676989e-14
96000,5.0,73,14700.0,200.0,4.99767310566706e-14
96000,5.0,74,14900.0,200.0,1.469452362849506e-14
96000,5.0,75,15100.0,200.0,3.625573506112754e-14
96000,5.0,76,15300.0,200.0,9.73527632951999e-16
96000,5.0,77,15500.0,200.0,2.2534739065584474e-14
96000,5.0,78,15700.0,200.0,1.2747468362591063e-14
96000,5.0,79,15900.0,200.0,8.813743070041413e-15
96000,5.0,80,16100.0,200.0,2.6468464358134125e-14
96000,5.0,81,16300.0,200.0,5.193616593530636e-14
96000,5.0,82,16500.0,200.0,4.018946035367719e-14
96000,5.0,83,16700.0,200.0,1.8628248921044712e-14
96000,5.0,84,16900.0,200.0,2.932962511587764e-15
96000,5.0,85,17100.0,200.0,2.449417394422024e-14
96000,5.0,86,17300.0,200.0,4.605538537685272e-14
96000,5.0,87,17500.0,200.0,6.761659680948519e-14
96000,5.0,88,17700.0,200.0,2.450902947949836e-14
96000,5.0,89,17900.0,200.0,2.9478180468658846e-15
96000,5.0,90,18100.0,200.0,1.8613393385766592e-14
96000,5.0,91,18300.0,200.0,4.017460481839907e-14
96000,5.0,92,18500.0,200.0,5.1951021470584486e-14
96000,5.0,93,18700.0,200.0,3.038981003795201e-14
96000,5.0,94,18900.0,200.0,8.828598605319534e-15
96000,5.0,95,19100.0,200.0,1.2732612827312944e-14
96000,5.0,96,19300.0,200.0,3.429382425994542e-14
96000,5.0,97,19500.0,200.0,5.783180202903813e-14
96000,5.0,98,19700.0,200.0,7.741624712521038e-14
96000,5.0,99,19900.0,200.0,1.470937916377318e-14
